gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Ddx25,1327.591818,0.070463159,0.086740716,0.812342368,0.416595206,0.687832625
Ddx21,833.7936406,-0.120272409,0.148175244,-0.811690307,0.416969358,0.687832625
Rps6ka5,702.6957142,-0.114081883,0.14053464,-0.811770559,0.416923298,0.687832625
Rps6ka6,589.5496388,-0.119341047,0.147045799,-0.811590998,0.417026358,0.687832625
Thoc1,484.0244139,0.10948099,0.134872246,0.811738463,0.416941719,0.687832625
Pard6b,129.2411628,-0.185061109,0.227940974,-0.811881715,0.416859507,0.687832625
4632427E13Rik,133.014771,0.180361511,0.221986166,0.812489872,0.416510596,0.687797921
Rras2,819.9797046,-0.093382537,0.114895033,-0.812763921,0.416353425,0.687612627
Mplkip,346.6929602,0.12364785,0.152124926,0.812804668,0.416330059,0.687612627
Thoc2,1712.614414,-0.066632892,0.081958383,-0.813008857,0.41621298,0.687529176
Slc39a9,1225.498573,-0.0719543,0.088478777,-0.813237963,0.416081638,0.687460539
P2ry1,94.80447408,0.197876339,0.243342518,0.813159743,0.416126477,0.687460539
Nktr,1793.922394,0.076900193,0.094524041,0.813551686,0.415901825,0.687270486
Larp6,621.1726751,-0.105104981,0.129198219,-0.813517258,0.415921556,0.687270486
Lcor,416.3349292,-0.111870655,0.137494257,-0.813638742,0.415851937,0.687270486
